3744,FINEORG-EQ,1660127114,6800.00,6407.15,6844.95,5827.10,680435
1041,FINPIPE-EQ,1660127047,138.25,137.20,138.95,138.25,326088
13750,FLUOROCHEM-EQ,1660127122,3320.00,3271.65,3349.00,3308.20,84793
14592,FORTIS-EQ,1660127042,270.00,265.80,274.40,269.15,989518
14304,FSL-EQ,1660127239,103.30,101.40,104.45,103.20,2462519
8828,GAEL-EQ,1660126793,301.90,297.15,310.00,299.15,401935
4717,GAIL-EQ,1660127397,133.35,129.90,133.75,133.35,22207337
1315,GALAXYSURF-EQ,1660126311,3157.00,3153.05,3311.90,3152.00,125069
1100,GARFIBRES-EQ,1660126384,3149.70,3091.20,3157.00,3124.75,19439
13776,GESHIP-EQ,1660127389,518.70,511.10,532.30,519.80,389790
277,GICRE-EQ,1660126778,120.20,118.10,123.50,121.45,180109
1186,GLAND-EQ,1660127251,2337.00,2287.85,2343.00,2328.45,117117
1153,GLAXO-EQ,1660126996,1455.95,1430.30,1455.95,1443.40,101962
7406,GLENMARK-EQ,1660127174,375.00,370.55,377.00,371.60,729483
5265,GLS-EQ,1660125679,446.85,443.00,450.00,446.75,41016
13528,GMRINFRA-EQ,1660126785,34.25,34.15,35.00,34.30,4503117
1174,GNFC-EQ,1660127381,750.00,732.10,772.50,772.50,3491698
6964,GOCOLORS-EQ,1660126945,1090.05,1070.05,1138.25,1100.60,212507
1181,GODFRYPHLP-EQ,1660127129,1223.30,1200.20,1229.00,1199.35,36263
144,GODREJAGRO-EQ,1660127057,498.90,494.15,501.90,494.90,143997
10099,GODREJCP-EQ,1660126997,869.00,849.05,883.20,868.55,930246
10925,GODREJIND-EQ,1660126483,457.50,454.05,467.95,453.90,76534
17875,GODREJPROP-EQ,1660127369,1374.00,1343.10,1374.00,1366.70,890021
19731,GPPL-EQ,1660127394,83.75,81.25,83.75,82.95,433361
11872,GRANULES-EQ,1660127396,321.00,300.05,321.00,314.10,5151664
592,GRAPHITE-EQ,1660127230,413.50,390.00,415.40,412.30,834442
1232,GRASIM-EQ,1660127346,1595.10,1586.50,1616.20,1598.65,565399
13560,GRINDWELL-EQ,1660127367,1997.90,1977.25,2008.80,1997.90,62086
5054,GRINFRA-EQ,1660127297,1360.00,1359.95,1446.00,1323.40,90500
1247,GSFC-EQ,1660127391,163.90,159.70,163.90,163.40,2157358
13197,GSPL-EQ,1660127255,238.00,230.20,238.45,236.25,426931
1267,GUJALKALI-EQ,1660127098,754.90,745.25,766.80,749.25,307994
10599,GUJGASLTD-EQ,1660127145,450.20,444.05,458.45,450.20,1618553
2303,HAL-EQ,1660127252,2160.00,2135.50,2204.25,2159.25,1725902
48,HAPPSTMNDS-EQ,1660127312,955.25,954.00,969.90,968.50,218873
18154,HATHWAY-EQ,1660127033,17.15,16.90,17.20,17.10,883054
3892,HATSUN-EQ,1660126797,1008.95,997.00,1009.90,1007.70,12645
9819,HAVELLS-EQ,1660127092,1305.00,1295.30,1316.95,1304.95,547484
7229,HCLTECH-EQ,1660127386,966.05,948.10,967.00,966.05,3271939
22326,HDFC-W3,1660125675,450.00,445.00,454.00,445.25,4200
4244,HDFCAMC-EQ,1660127331,2012.40,1978.00,2013.85,2004.70,124810
1333,HDFCBANK-EQ,1660127385,1461.35,1449.05,1471.50,1462.05,8676551
467,HDFCLIFE-EQ,1660127348,538.40,537.00,543.95,536.75,3597072
1336,HEG-EQ,1660127156,1244.00,1235.05,1267.70,1238.40,273302
701,HEMIPROP-EQ,1660127306,101.70,100.00,102.25,101.70,582937
1348,HEROMOTOCO-EQ,1660127378,2785.00,2732.90,2785.00,2738.05,895054
21951,HFCL-EQ,1660127393,75.40,74.30,78.20,74.50,32293928
14712,HGS-EQ,1660126891,1337.20,1311.55,1346.00,1330.20,154916
9668,HIKAL-EQ,1660127347,262.90,256.15,263.95,262.85,265780
1363,HINDALCO-EQ,1660127397,423.05,416.60,444.40,421.40,23766201
17939,HINDCOPPER-EQ,1660127387,112.30,111.20,113.40,111.05,5558821
1406,HINDPETRO-EQ,1660127371,240.35,238.50,242.20,239.05,5245266
1394,HINDUNILVR-EQ,1660127396,2650.35,2631.20,2676.70,2650.35,1098949
1424,HINDZINC-EQ,1660127389,271.90,270.50,275.10,271.40,539114
2289,HLEGLAS-EQ,1660127343,3811.00,3669.95,3819.00,3791.95,33428
2056,HOMEFIRST-EQ,1660127273,807.00,789.90,830.00,806.35,76814
3417,HONAUT-EQ,1660127376,40555.70,40460.10,40897.60,40523.25,1911
19970,HUDCO-NE,1660125674,1390.99,1380.00,1390.99,1380.00,197
14450,IBREALEST-EQ,1660127399,71.50,68.70,72.25,71.55,5603034
9277,IBULHSGFIN-YT,1660125681,0.00,0.00,0.00,975.00,0
4963,ICICIBANK-EQ,1660127371,842.15,842.15,853.00,836.95,23658553
21770,ICICIGI-EQ,1660126264,1218.00,1213.25,1242.85,1214.10,832004
18652,ICICIPRULI-EQ,1660127200,562.00,551.25,565.15,569.85,1306663
11987,ICIL-EQ,1660126937,146.00,140.00,146.70,145.40,211062
1476,IDBI-EQ,1660127352,40.90,39.65,41.80,40.90,7893183
14366,IDEA-EQ,1660127395,8.70,8.55,8.75,8.65,58889485
11957,IDFC-EQ,1660127244,61.40,59.95,61.55,61.20,6807136
11184,IDFCFIRSTB-EQ,1660127356,44.70,43.70,44.95,44.65,52366454
220,IEX-EQ,1660127381,166.50,163.50,166.70,165.90,3302759
1485,IFBIND-EQ,1660127340,1024.00,1010.20,1079.60,1024.05,58998
11262,IGL-EQ,1660127271,368.00,363.25,381.00,358.75,9963963
6207,IIFL-NN,1660125680,0.00,0.00,0.00,960.00,0
13061,IIFLWAM-EQ,1660126245,1650.00,1622.20,1663.05,1642.15,13472
1512,INDHOTEL-EQ,1660127324,272.40,266.35,277.15,270.85,14559571
1515,INDIACEM-EQ,1660127237,196.00,191.50,196.80,195.80,1427926
10726,INDIAMART-EQ,1660126682,4485.00,4362.00,4485.00,4489.70,115183
14309,INDIANB-EQ,1660126943,175.00,173.20,177.25,174.05,738084
11195,INDIGO-EQ,1660127377,2061.00,2022.25,2066.80,2067.20,328575
2048,INDIGOPNTS-EQ,1660126646,1548.00,1530.10,1557.55,1528.45,21539
11677,INDOCO-EQ,1660126689,381.60,372.60,384.55,395.10,158801
5258,INDUSINDBK-EQ,1660127399,1045.40,1043.05,1067.50,1050.20,2727232
29135,INDUSTOWER-EQ,1660127369,199.75,192.70,199.85,199.75,7599621
16249,INFIBEAM-EQ,1660127117,15.20,14.80,15.30,15.20,2602710
1594,INFY-EQ,1660127375,1621.20,1588.10,1621.20,1619.40,4423829
13221,INOXLEISUR-EQ,1660126990,585.10,583.90,591.95,588.85,254358
5926,INTELLECT-EQ,1660127055,613.95,603.30,621.00,614.30,456970
9348,IOB-EQ,1660127255,17.85,17.50,17.90,17.80,1410794
1624,IOC-EQ,1660127382,73.65,72.40,73.70,73.35,29085499
1633,IPCALAB-EQ,1660126988,1005.00,971.00,1012.00,1012.75,431161
15313,IRB-EQ,1660127383,268.00,255.85,268.05,267.25,1766497
4986,IRCON-EQ,1660127353,40.05,38.75,40.60,39.40,2152926
13611,IRCTC-EQ,1660127395,663.25,654.20,677.50,658.50,5461816
15168,IRFC-NO,1660125683,1196.00,1185.00,1199.99,1196.00,7247
2489,ISEC-EQ,1660127376,485.00,480.50,499.90,485.25,256265
1660,ITC-EQ,1660127385,313.15,310.75,314.10,313.15,8923568
1675,ITI-EQ,1660127332,117.75,116.60,119.10,117.20,770610
20778,JAMNAAUTO-EQ,1660127322,125.75,120.00,126.75,125.75,1126788
1726,JBCHEPHARM-EQ,1660126622,1848.00,1800.00,1876.90,1861.40,40557
6733,JINDALSTEL-EQ,1660127341,393.50,388.05,399.85,392.15,3741687
13270,JKCEMENT-EQ,1660126355,2600.60,2568.85,2630.00,2598.05,66356
13491,JKLAKSHMI-EQ,1660127298,468.30,460.95,472.95,473.30,171641
11860,JKPAPER-EQ,1660127384,391.00,390.95,425.00,388.90,10085138
13637,JMFINANCIL-EQ,1660127390,62.70,62.05,63.70,61.55,878135
11236,JSL-EQ,1660127222,120.85,117.20,121.00,120.15,934868
17869,JSWENERGY-EQ,1660127398,316.10,303.20,323.70,311.65,7423497
11723,JSWSTEEL-EQ,1660127380,672.55,660.00,674.80,669.20,3252353
18096,JUBLFOOD-EQ,1660127396,571.45,558.80,573.05,567.55,2096534
2783,JUBLINGREA-EQ,1660127341,475.10,467.10,482.60,473.45,434652
3637,JUBLPHARMA-EQ,1660127395,349.30,348.05,352.60,347.60,56315
29962,JUSTDIAL-EQ,1660126433,589.30,582.05,597.60,587.55,247506
15146,JYOTHYLAB-EQ,1660127006,185.00,182.50,187.00,183.05,948860
1808,KAJARIACER-EQ,1660126205,1150.00,1128.50,1154.65,1148.75,98029
1814,KALPATPOWR-EQ,1660126600,377.00,369.00,377.00,375.15,49480
2955,KALYANKJIL-EQ,1660127397,71.00,69.00,71.30,71.40,916155
1196,KANSAINER-EQ,1660126875,498.70,490.00,503.10,496.30,156722
1838,KARURVYSYA-EQ,1660126944,62.50,61.50,63.20,62.00,4432631
13260,KEC-EQ,1660127337,411.00,396.15,411.10,404.60,353503
13310,KEI-EQ,1660127314,1356.00,1337.05,1444.70,1355.95,631035
4847,KIMS-EQ,1660127005,1270.00,1240.00,1270.00,1251.20,16988
15283,KNRCON-EQ,1660127221,257.05,255.65,263.25,259.15,68606
1922,KOTAKBANK-EQ,1660127395,1848.00,1821.05,1849.25,1844.50,1657327
9683,KPITTECH-EQ,1660127296,531.50,521.05,533.40,531.40,475492
14912,KPRMILL-EQ,1660126782,574.00,570.20,577.80,572.55,191469
10577,KRBL-EQ,1660126831,269.00,254.00,270.00,260.30,1396028
24948,L&TFH-EQ,1660127293,74.50,73.25,74.95,74.70,3327213
11654,LALPATHLAB-EQ,1660127236,2418.05,2414.50,2449.50,2418.05,187824
6818,LATENTVIEW-EQ,1660127213,367.35,361.50,368.70,367.35,145316
19234,LAURUSLABS-EQ,1660127381,551.10,550.65,563.80,551.10,1695655
1979,LAXMIMACH-EQ,1660125675,10480.00,10480.00,10670.00,10550.35,5693
1997,LICHSGFIN-EQ,1660126995,381.00,373.70,381.85,380.00,1918529
1627,LINDEINDIA-EQ,1660127313,3630.00,3480.50,3637.95,3543.45,60176
